category,Webname,Weburl
,CNN - Cable News Network ,http://www.cnn.com/
,CNN: Recent Updates ,http://rss.cnn.com/rss/cnn_latest.rss
,CNN: Top Stories ,http://rss.cnn.com/rss/cnn_topstories.rss
,The Conversation ,http://theconversation.com/
,CTV News ,http://www.ctvnews.ca/
,CTV: Top Stories ,http://www.ctvnews.ca/rss/ctvnews-ca-top-stories-public-rss-1.822009
,Deutsche Welle ,http://www.dw.com/
,The Economist ,http://www.economist.com/
,Euronews ,http://www.euronews.com/
,FOX News ,"http://www.foxnews.com/xmlfeed/rss/0,4313,0,00.rss"
,Fox News Channel ,http://www.foxnews.com/
,France 24 ,http://www.france24.com/
,Google News ,https://news.google.com/
,Google News ,http://news.google.com/?output=rss
,The Guardian ,http://www.theguardian.com/
,The Guardian ,http://www.theguardian.com/help/feeds
,The Huffington Post ,http://www.huffingtonpost.com/
,McClatchy Washington Bureau ,http://www.mcclatchydc.com/
,NBC News ,http://www.nbcnews.com/
,New York Times ,http://www.nytimes.com/
,New York Times: News ,http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
,News in Pictures ,http://www.newsinpictures.com/
,News.com.au ,http://www.news.com.au/
,News.com.au: Top Stories ,http://feeds.feedburner.com/com/newscomautopstoriesndm
,NPR: News ,http://www.npr.org/sections/news/
,NPR: Top Stories ,http://www.npr.org/rss/rss.php?id=1001
,PBS News ,http://www.pbs.org/news/
,PBS NewsHour ,http://www.pbs.org/newshour/feed/
,Reuters ,http://www.reuters.com/
,Reuters - RSS Feeds ,http://www.reuters.com/tools/rss
,RTÉ News ,http://www.rte.ie/news
,RTÉ News ,http://www.rte.ie/rss/news.xml
,Sky News ,http://feeds.skynews.com/sky-news/rss/home/rss.xml
,Spiegel Online ,http://www.spiegel.de/international/
,Spiegel Online ,http://www.spiegel.de/international/index.rss
,The Times ,http://www.thetimes.co.uk/
,Topix ,http://www.topix.com/
,UN News Centre ,http://www.un.org/News/
,UN News Centre: Top Stories ,http://www.un.org/apps/news/rss/rss_top.asp
,USA Today ,http://www.usatoday.com/
,USA Today: Top Stories ,http://rssfeeds.usatoday.com/usatoday-NewsTopStories
,VOA News: Top Stories ,http://www.voanews.com/rss/?count=50
,Voice of America ,http://www.voanews.com/
,web62.com ,http://www.web62.com/
,Wikinews ,http://en.wikinews.org/wiki/Main_Page
,Wikinews ,http://feeds.feedburner.com/WikinewsLatestNews
,World News Network ,http://www.wn.com/
,Yahoo News ,http://news.yahoo.com/
,Yahoo! News: Top Stories ,http://rss.news.yahoo.com/rss/topstories
,Health On the Net Foundation ,http://www.hon.ch/
,WebMD ,http://www.webmd.com/
,BBC Health ,http://www.bbc.co.uk/health/
,HuffingtonPost Healthy Living ,http://www.huffingtonpost.com/healthy-living/
,CIA World Factbook ,https://www.cia.gov/library/publications/the-world-factbook/
,BBC Country Profiles ,http://news.bbc.co.uk/2/hi/country_profiles/default.stm
,City Population ,http://www.citypopulation.de/
,Eldis Country and Region Profiles ,http://www.eldis.org/country/
,Island Directory ,http://islands.unep.ch/isldir.htm
,National Geographic: Travel & Cultures ,http://travel.nationalgeographic.com/travel/
,NationMaster.com ,http://www.nationmaster.com/
,Nations Online ,http://www.nationsonline.org/
,UNdata ,http://data.un.org/CountryProfile.aspx
